name,location.coordinate.longitude,location.coordinate.latitude,review_count,rating,categories
Pete's Egg Nest,-122.3555374,47.6852989,443,4,"[[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Phinney Market Pub & Eatery,-122.3542023,47.6722984,191,3.5,"[[""Pubs"",""pubs""],[""Gastropubs"",""gastropubs""],[""Wine Bars"",""wine_bars""]]"
Amante Pizza & Pasta,-122.383762523532,47.6557765156031,31,3,"[[""Pizza"",""pizza""]]"
Tray Kitchen,-122.3617477,47.6564407,73,4,"[[""American (New)"",""newamerican""],[""Asian Fusion"",""asianfusion""],[""Tapas/Small Plates"",""tapasmallplates""]]"
Cornuto Pizzeria,-122.3550873,47.6827316,107,4,"[[""Italian"",""italian""],[""Pizza"",""pizza""]]"
Mulleady's Irish Pub,-122.383636,47.648247,203,4,"[[""Pubs"",""pubs""],[""Irish"",""irish""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Chef Liao Asian Fusion Cuisine,-122.3541794,47.6729889,194,4,"[[""Asian Fusion"",""asianfusion""],[""Chinese"",""chinese""]]"
El Chupacabra,-122.3556824,47.6781387,498,3.5,"[[""Mexican"",""mexican""],[""Bars"",""bars""]]"
Red Mill Burgers,-122.378303527832,47.6481895446777,656,4,"[[""Burgers"",""burgers""]]"
Ann's Teriyaki,-122.386524528265,47.6687168329954,57,3.5,"[[""Vietnamese"",""vietnamese""],[""American (New)"",""newamerican""]]"
India Bistro,-122.3864365,47.668499,228,3.5,"[[""Indian"",""indpak""],[""Buffets"",""buffets""]]"
Diggity Dog,-122.355657,47.689641,57,4.5,"[[""Hot Dogs"",""hotdog""]]"
The Park Public House,-122.3540573,47.6736717,121,4,"[[""Pubs"",""pubs""],[""American (New)"",""newamerican""],[""Sports Bars"",""sportsbars""]]"
Hecho,-122.354996167123,47.6822623370361,118,3,"[[""Mexican"",""mexican""]]"
Dick's Drive-In,-122.3716888,47.6964111,159,3.5,"[[""Burgers"",""burgers""],[""Fast Food"",""hotdogs""]]"
Modern,-122.3541031,47.6734886,18,4,"[[""Sushi Bars"",""sushi""],[""Japanese"",""japanese""]]"
Egan's Ballard Jam House,-122.3793335,47.6685219,23,3.5,"[[""Restaurants"",""restaurants""],[""Music Venues"",""musicvenues""]]"
